official_code,name,source,type,deck_origin,complexity,vertical_slice_role,script_path,script_found,database_found,source_art_path,art_asset,image_available,test_status,notes,database_name,database_alias
16195943,Dragão Xyz da Rebelião Negra,official,Monstro Xyz,allcards-numeric-0001-2500,extra_deck,,custom/c16195943.lua,alias_override,true,C:\Users\ocara\Downloads\allcards\images\16195943.jpg,Assets/StreamingAssets/Ygo/Art/16195943.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Dark Rebellion Xyz Dragon,16195942
16197610,Cloudian - Turbulência,official,Monstro de Efeito,allcards-numeric-0001-2500,trigger,,official/c16197610.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16197610.jpg,Assets/StreamingAssets/Ygo/Art/16197610.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Cloudian - Turbulence,
16209941,Perigo! Chupa-cabra!,official,Monstro de Efeito,allcards-numeric-0001-2500,trigger,,official/c16209941.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16209941.jpg,Assets/StreamingAssets/Ygo/Art/16209941.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Danger! Chupacabra!,
16222645,Samurai Sasuke,official,Monstro de Efeito,allcards-numeric-0001-2500,trigger,,official/c16222645.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16222645.jpg,Assets/StreamingAssets/Ygo/Art/16222645.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Sasuke Samurai,
16223761,Mão do Trovão,official,Monstro de Efeito,allcards-numeric-0001-2500,trigger,,official/c16223761.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16223761.jpg,Assets/StreamingAssets/Ygo/Art/16223761.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Thunder Hand,
16226786,Assaltante Noturno,official,Monstro de Efeito,allcards-numeric-0001-2500,trigger,,official/c16226786.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16226786.jpg,Assets/StreamingAssets/Ygo/Art/16226786.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Night Assailant,
16227556,Inspection,official,Carta de Magia,allcards-numeric-0001-2500,continuous,,official/c16227556.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16227556.jpg,Assets/StreamingAssets/Ygo/Art/16227556.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Inspection,
16227633,Mementotlan Bone Back,official,Carta de Magia,allcards-numeric-0001-2500,quick,,official/c16227633.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16227633.jpg,Assets/StreamingAssets/Ygo/Art/16227633.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Mementotlan Bone Back,
16229315,Dogra do Vendaval,official,Monstro de Efeito,allcards-numeric-0001-2500,intermediate,,official/c16229315.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16229315.jpg,Assets/StreamingAssets/Ygo/Art/16229315.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Gale Dogra,
16237004,Shamanite Shamanknight,official,Monstro Xyz,allcards-numeric-0001-2500,extra_deck,,official/c16237004.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16237004.jpg,Assets/StreamingAssets/Ygo/Art/16237004.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Shamanite Shamanknight,
16238373,Psychic Arsenal,official,Carta de Magia,allcards-numeric-0001-2500,trigger,,official/c16238373.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16238373.jpg,Assets/StreamingAssets/Ygo/Art/16238373.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Psychic Arsenal,
16240772,Sinful Spoils of Doom - Rciela,official,Carta de Magia,allcards-numeric-0001-2500,quick,,official/c16240772.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16240772.jpg,Assets/StreamingAssets/Ygo/Art/16240772.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Sinful Spoils of Doom - Rciela,
16241441,Chrysalis Larva,official,Monstro de Efeito,allcards-numeric-0001-2500,intermediate,,official/c16241441.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16241441.jpg,Assets/StreamingAssets/Ygo/Art/16241441.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Chrysalis Larva,
16246527,Rato Armadurado,official,Monstro Normal,allcards-numeric-0001-2500,simple,,,not_required_no_effect,true,C:\Users\ocara\Downloads\allcards\images\16246527.jpg,Assets/StreamingAssets/Ygo/Art/16246527.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Armored Rat,
16246535,Silent Psychic Magician,official,Monstro Sincro,allcards-numeric-0001-2500,extra_deck,,official/c16246535.lua,true,true,C:\Users\ocara\Downloads\allcards\images\16246535.jpg,Assets/StreamingAssets/Ygo/Art/16246535.jpg,true,pending,Imported from allcards-numeric-0001-2500 with streaming artwork.,Silent Psychic Magician,
