official_code,script_code,origin,card_type
52711246,52711246,ygoprodeck_shiranui_supremacy,8225
56198785,56198785,ygoprodeck_shiranui_supremacy,33
59843383,59843383,ygoprodeck_shiranui_supremacy,8225
65422840,65422840,ygoprodeck_shiranui_supremacy,33
68722455,68722455,ygoprodeck_shiranui_supremacy,33
68989981,68989981,ygoprodeck_shiranui_supremacy,33
72700231,72700231,ygoprodeck_shiranui_supremacy,33
74003290,74003290,ygoprodeck_shiranui_supremacy,4
74798297,74798297,ygoprodeck_shiranui_supremacy,4
77092311,77092311,ygoprodeck_shiranui_supremacy,8225
78936551,78936551,ygoprodeck_shiranui_supremacy,33
79783880,79783880,ygoprodeck_shiranui_supremacy,4129
83266006,83266006,ygoprodeck_shiranui_supremacy,65538
86926989,86926989,ygoprodeck_shiranui_supremacy,67108897
01475311,1475311,ygoprodeck_mausoleum_lockdown_edison,2
05556499,5556499,ygoprodeck_mausoleum_lockdown_edison,33
07391448,7391448,ygoprodeck_mausoleum_lockdown_edison,8225
12298909,12298909,ygoprodeck_mausoleum_lockdown_edison,33
19974580,19974580,ygoprodeck_mausoleum_lockdown_edison,8225
23693634,23693634,ygoprodeck_mausoleum_lockdown_edison,8225
24317029,24317029,ygoprodeck_mausoleum_lockdown_edison,2097185
26593852,26593852,ygoprodeck_mausoleum_lockdown_edison,8225
37694547,37694547,ygoprodeck_mausoleum_lockdown_edison,524290
47084486,47084486,ygoprodeck_mausoleum_lockdown_edison,33
47297616,47297616,ygoprodeck_mausoleum_lockdown_edison,33
50321796,50321796,ygoprodeck_mausoleum_lockdown_edison,8225
50933533,50933533,ygoprodeck_mausoleum_lockdown_edison,33
53714009,53714009,ygoprodeck_mausoleum_lockdown_edison,8225
63101919,63101919,ygoprodeck_mausoleum_lockdown_edison,8225
70780151,70780151,ygoprodeck_mausoleum_lockdown_edison,8225
70902743,70902743,ygoprodeck_mausoleum_lockdown_edison,8225
79229522,79229522,ygoprodeck_mausoleum_lockdown_edison,97
80921533,80921533,ygoprodeck_mausoleum_lockdown_edison,524290
83104731,83104731,ygoprodeck_mausoleum_lockdown_edison,33
88643579,88643579,ygoprodeck_mausoleum_lockdown_edison,8225
89111398,89111398,ygoprodeck_mausoleum_lockdown_edison,545
98380593,98380593,ygoprodeck_mausoleum_lockdown_edison,2
98777036,98777036,ygoprodeck_mausoleum_lockdown_edison,33
47894537,,ygoprodeck_nine_deck_batch,17
65033975,65033975,ygoprodeck_nine_deck_batch,33
74150658,74150658,ygoprodeck_nine_deck_batch,33
9798352,9798352,ygoprodeck_nine_deck_batch,33
87462901,87462901,ygoprodeck_nine_deck_batch,33
85401123,85401123,ygoprodeck_nine_deck_batch,2097185
24081957,24081957,ygoprodeck_nine_deck_batch,2
25224340,25224340,ygoprodeck_nine_deck_batch,65538
83626916,83626916,ygoprodeck_nine_deck_batch,131076
9064354,9064354,ygoprodeck_nine_deck_batch,131076
42201897,42201897,ygoprodeck_nine_deck_batch,4
89328238,89328238,ygoprodeck_nine_deck_batch,4
